tid,tournament_name,start_date,month,raw_team,team_name,team_key,player_1,player_2,deck_1,deck_2,deck_url_1,deck_url_2,deck_name_pt_1,deck_name_pt_2,deck_name_en_1,deck_name_en_2,colecao_1,colecao_2,map_status,missing_players,missing_decks
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,2026-05,Melk & Sonia,Melk & Sônia,melk & sonia,Melk,Sônia,Mishra's Burnished Banner,Veloci-E-Rápido,https://moxfield.com/decks/cVYq14CAiU-CwDR0rmdQkw,https://moxfield.com/decks/KcPWaLquLkmIOy3XsFHTqQ,Mishra's Burnished Banner,Veloci-E-Rápido,Mishra's Burnished Banner,Veloci-Ramp-Tor,The Brothers' War,The Lost Caverns of Ixalan,manual,0,0
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,2026-05,Metusa & Ruddzt,Metusa & Rudzzt,metusa & rudzzt,Metusa,Rudzzt,Sabedoria Eterna,Fúria Dracônica,https://moxfield.com/decks/mlElAIMD4EazCpFh8osZaw,https://moxfield.com/decks/P1mqDaduQ02OuUWm_8rb4Q,Sabedoria Eterna,Fúria Dracônica,Timeless Wisdom,Draconic Rage,Commander 2020 - Ikoria,Dungeons and Dragons: Adventures in the Forgotten Realms,manual,0,0
liga-2x2-presencial-s2-e4,Liga 2x2 presencial S2-E4,2026-05-02,2026-05,Oscar & Vini,Oscar & Vini,oscar & vini,Oscar,Vini,Witherbloom Pestilence,Veloci-E-Rápido,https://moxfield.com/decks/AfG94iTx-UeG0L1wvTfSug,https://moxfield.com/decks/KcPWaLquLkmIOy3XsFHTqQ,Witherbloom Pestilence,Veloci-E-Rápido,Witherbloom Pestilence,Veloci-Ramp-Tor,Secrets of Strixhaven,The Lost Caverns of Ixalan,manual,0,0
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,2026-05,André & Matheus,André & Matheus,andre & matheus,André,Matheus,Quandrix Unlimited,Geração de Letalidade,https://moxfield.com/decks/ht3IDMDxnU2VOMi7MAhtFg,https://moxfield.com/decks/rnkRQ7yt1EKD4pSVBEQX7w,Quandrix Unlimited,Geração de Letalidade,Quandrix Unlimited,Breed Lethality,Secrets of Strixhaven,Commander 2016,manual,0,0
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,2026-05,Murilo & Arthur,Arthur Castanhari & Murilo Oyafuso,arthur castanhari & murilo oyafuso,Murilo Oyafuso,Arthur Castanhari,Silverquill Influence,Turtle Power!,https://moxfield.com/decks/g9rcUGSiR02aO2Ozof0rNA,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg,Silverquill Influence,Turtle Power!,Silverquill Influence,Turtle Power!,Secrets of Strixhaven,Teenage Mutant Ninja Turtles,manual,0,0
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,2026-05,Banshee & Ruanito,Banshee & Ruanito,banshee & ruanito,Banshee,Ruanito,Prismari Artistry,Turtle Power!,https://moxfield.com/decks/Fh99bHrQZ0KLu34C2JXu5w,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg,Prismari Artistry,Turtle Power!,Prismari Artistry,Turtle Power!,Secrets of Strixhaven,Teenage Mutant Ninja Turtles,manual,0,0
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,2026-05,Beck & Gus,Beck & Gus,beck & gus,Beck,Gus,Mortos-Vivos Desenfreados,Içar Velas,https://moxfield.com/decks/3kHIg4HG_U29DRdIPiF7ww,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,Mortos-Vivos Desenfreados,Içar Velas,Undeade Unleashed,Ahoy Mateys,Innistrad: Midnight Hunt,The Lost Caverns of Ixalan,manual,0,0
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,2026-05,Zangalli & Clausius,Clausius & Zangalli,clausius & zangalli,Zangalli,Clausius,Exploradores das Profundezas,Prismari Artistry,https://moxfield.com/decks/SvrXYfEIn0q5EprNPf0mqQ,https://moxfield.com/decks/Fh99bHrQZ0KLu34C2JXu5w,Exploradores das Profundezas,Prismari Artistry,Explorers of the Deep,Prismari Artistry,The Lost Caverns of Ixalan,Secrets of Strixhaven,manual,0,0
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,2026-05,Jorel & Martin,Jorel & Martin,jorel & martin,Jorel,Martin,Quandrix Unlimited,Lorehold Spirit,https://moxfield.com/decks/ht3IDMDxnU2VOMi7MAhtFg,https://moxfield.com/decks/u6bBAgiZn0aXxjms4_-J9A,Quandrix Unlimited,Lorehold Spirit,Quandrix Unlimited,Lorehold Spirit,Secrets of Strixhaven,Secrets of Strixhaven,manual,0,0
liga-2x2-presencial-s2-e5,Liga 2x2 presencial S2-E5,2026-05-09,2026-05,Melk & Sonia,Melk & Sônia,melk & sonia,Melk,Sônia,Scions & Spellcraft,Veloci-E-Rápido,https://moxfield.com/decks/r_IFt9Gc3UqaULfoAEjVvg,https://moxfield.com/decks/KcPWaLquLkmIOy3XsFHTqQ,Scions & Spellcraft,Veloci-E-Rápido,Scions & Spellcraft,Veloci-Ramp-Tor,Final Fantasy,The Lost Caverns of Ixalan,manual,0,0
